typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","643","RUS","Russian Federation","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","172659",,"172659","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","688","SRB","Serbia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","55110",,"55110","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","702","SGP","Singapore","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5179541",,"5179541","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","703","SVK","Slovakia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","49133",,"49133","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","36948",,"36948","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","705","SVN","Slovenia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","33081",,"33081","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3118476",,"3118476","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","724","ESP","Spain","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5076598",,"5076598","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","729","SDN","Sudan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","35",,"35","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","748","SWZ","Eswatini","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","179446",,"179446","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","752","SWE","Sweden","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8947813",,"8947813","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","127881295",,"127881295","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1873912",,"1873912","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","91317",,"91317","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","792","TUR","Türkiye","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","299685",,"299685","0","true","false",
